id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_id,player_of_match,umpire1,umpire2,umpire3,,,
1,IPL-2017,Hyderabad,2017-05-04,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,0,Yuvraj Singh,AY Dandekar,NJ Llong,,,insert into matches values (,"insert into matches values (1,'IPL-2017','Hyderabad','42859','Sunrisers Hyderabad','Royal Challengers Bangalore','Royal Challengers Bangalore','field','normal',0,'Sunrisers Hyderabad',35,0,0,'Yuvraj Singh','AY Dandekar','NJ Llong');"
2,IPL-2017,Pune,2017-06-04,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,7,0,SPD Smith,A Nand Kishore,S Ravi,,,,
3,IPL-2017,Rajkot,2017-07-04,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,0,CA Lynn,Nitin Menon,CK Nandan,,,,
4,IPL-2017,Indore,2017-08-04,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,0,GJ Maxwell,AK Chaudhary,C Shamshuddin,,,,
5,IPL-2017,Bangalore,2017-08-04,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,0,KM Jadhav,,,,,,
6,IPL-2017,Hyderabad,2017-09-04,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,0,Rashid Khan,A Deshmukh,NJ Llong,,,,
7,IPL-2017,Mumbai,2017-09-04,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,0,N Rana,Nitin Menon,CK Nandan,,,,
8,IPL-2017,Indore,2017-10-04,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,0,AR Patel,AK Chaudhary,C Shamshuddin,,,,
9,IPL-2017,Pune,2017-11-04,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Delhi Daredevils,97,0,0,SV Samson,AY Dandekar,S Ravi,,,,
10,IPL-2017,Mumbai,2017-12-04,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,0,JJ Bumrah,Nitin Menon,CK Nandan,,,,
11,IPL-2017,Kolkata,13-04-2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,0,SP Narine,A Deshmukh,NJ Llong,,,,
12,IPL-2017,Bangalore,14-04-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,0,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary,,,,
13,IPL-2017,Rajkot,14-04-2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,0,AJ Tye,A Nand Kishore,S Ravi,,,,
14,IPL-2017,Kolkata,15-04-2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,0,RV Uthappa,AY Dandekar,NJ Llong,,,,
15,IPL-2017,Delhi,15-04-2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Delhi Daredevils,51,0,0,CJ Anderson,YC Barde,Nitin Menon,,,,
16,IPL-2017,Mumbai,16-04-2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,0,N Rana,A Nand Kishore,S Ravi,,,,
