team_id,team1
1,Pune Warriors
2,Kolkata Knight Riders
3,Rajasthan Royals
4,Kochi Tuskers Kerala
5,Gujarat Lions
6,Chennai Super Kings
7,Rising Pune Supergiants
8,Delhi Daredevils
9,Deccan Chargers
10,Delhi Capitals
11,Mumbai Indians
12,Sunrisers Hyderabad
13,Rising Pune Supergiant
14,Royal Challengers Bangalore
15,Kings XI Punjab
